id,molecule,virus,reference,type,smiles,pubchem_id,similarity_calculated
0,Remdesivir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,121304016.0,1
1,Chloroquine,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719.0,1
2,Nitazoxanide,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],41684.0,1
3,Nafamostat,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413.0,1
4,penciclovir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,OCC(CCn1cnc2c1nc(N)[nH]c2=O)CO,135398748.0,1
5,nafamostat,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413.0,1
6,favipiravir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,Fc1c[nH]c(=O)c(n1)C(=O)N,492405.0,1
7,Loratadine,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,3957.0,1
8,Daunorubicin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)C(OC1CC(N)C(C(O1)C)O)CC(C2)(O)C(=O)C,30323.0,1
9,Midostaurin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1C(CC2OC1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O)N(C(=O)c1ccccc1)C,9829523.0,1
10,Ponatinib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2n1nccc2)C,24826799.0,1
11,Silmitasertib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Clc1cccc(c1)Nc1nc2cc(ccc2c2c1ccnc2)C(=O)O,24748573.0,1
12,Valproic Acid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCC(C(=O)O)CCC,3121.0,1
13,Haloperidol,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,3559.0,1
14,Metformin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN(C(=N)N=C(N)N)C,4091.0,1
15,Migalastat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OCC1NCC(C(C1O)O)O,176077.0,1
16,S-verapamil,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,92305.0,1
17,Indomethacin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,3715.0,1
18,Ruxolitinib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,N#CCC(n1ncc(c1)c1ncnc2c1cc[nH]2)C1CCCC1,25126798.0,1
19,Mycophenolic acid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1c(CC=C(CCC(=O)O)C)c(O)c2c(c1C)COC2=O,446541.0,1
20,Entacapone,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCN(C(=O)C(=Cc1cc(O)c(c(c1)[N+](=O)[O-])O)C#N)CC,5281081.0,1
