molecule,virus,reference,type,pubchem_smiles,obabel_smiles,pubchem_id,similarity_calculated,release
Remdesivir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,121304016,1,0.3
Chloroquine,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719,1,0.3
Nitazoxanide,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],41684,1,0.3
Nafamostat,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413,1,0.3
penciclovir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N,OCC(CCn1cnc2c1nc(N)[nH]c2=O)CO,135398748,1,0.3
nafamostat,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413,1,0.3
favipiravir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=C(N=C(C(=O)N1)C(=O)N)F,Fc1c[nH]c(=O)c(n1)C(=O)N,492405,1,0.3
Loratadine,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,3957,1,0.3
Daunorubicin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)C(OC1CC(N)C(C(O1)C)O)CC(C2)(O)C(=O)C,30323,1,0.3
Midostaurin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,COC1C(CC2OC1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O)N(C(=O)c1ccccc1)C,9829523,1,0.3
Ponatinib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2n1nccc2)C,24826799,1,0.3
Silmitasertib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4,Clc1cccc(c1)Nc1nc2cc(ccc2c2c1ccnc2)C(=O)O,24748573,1,0.3
Valproic Acid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCC(CCC)C(=O)O,CCCC(C(=O)O)CCC,3121,1,0.3
Haloperidol,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,3559,1,0.3
Metformin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN(C)C(=N)N=C(N)N,CN(C(=N)N=C(N)N)C,4091,1,0.3
Migalastat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1C(C(C(C(N1)CO)O)O)O,OCC1NCC(C(C1O)O)O,176077,1,0.3
S-verapamil,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,92305,1,0.3
Indomethacin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,3715,1,0.3
Ruxolitinib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,N#CCC(n1ncc(c1)c1ncnc2c1cc[nH]2)C1CCCC1,25126798,1,0.3
Mycophenolic acid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,COc1c(CC=C(CCC(=O)O)C)c(O)c2c(c1C)COC2=O,446541,1,0.3
Entacapone,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,CCN(C(=O)C(=Cc1cc(O)c(c(c1)[N+](=O)[O-])O)C#N)CC,5281081,1,0.3
Ribavirin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542,1,0.3
E-52862,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=CC(=NN1C2=CC3=CC=CC=C3C=C2)OCCN4CCOCC4,Cc1cc(nn1c1ccc2c(c1)cccc2)OCCN1CCOCC1,44247568,1,0.3
Merimepodib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4,COc1cc(ccc1c1cnco1)NC(=O)Nc1cccc(c1)CNC(=O)OC1COCC1,153241,1,0.3
RVX-208,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=CC(=CC(=C1OCCO)C)C2=NC3=C(C(=CC(=C3)OC)OC)C(=O)N2,OCCOc1c(C)cc(cc1C)c1nc2cc(OC)cc(c2c(=O)[nH]1)OC,135564749,1,0.3
XL413,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CC(NC1)C2=NC3=C(C(=O)N2)OC4=C3C=C(C=C4)Cl,Clc1ccc2c(c1)c1nc([nH]c(=O)c1o2)C1CCCN1,135564632,1,0.3
AC-55541,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(=NNC(=O)C(C1=NNC(=O)C2=CC=CC=C21)NC(=O)C3=CC=CC=C3)C4=CC(=CC=C4)Br,Brc1cccc(c1)C(=NNC(=O)C(c1n[nH]c(=O)c2c1cccc2)NC(=O)c1ccccc1)C,9589606,1,0.3
Apicidin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(NC(=O)C(NC1=O)Cc1cn(c2c1cccc2)OC)C(CC)C,6918328,1,0.3
AZ3451,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(C1CCCCC1)N2C3=C(C=C(C=C3)C(=O)NC4=CC=C(C=C4)C#N)N=C2C5=CC6=C(C=C5Br)OCO6,N#Cc1ccc(cc1)NC(=O)c1ccc2c(c1)nc(n2C(C1CCCCC1)C)c1cc2OCOc2cc1Br,126961335,1,0.3
AZ8838,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCC1=C(C=CC(=C1)F)C(C2=NC=CN2)O,CCCc1cc(F)ccc1C(c1ncc[nH]1)O,126961334,1,0.3
Bafilomycin A1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C(C)C)C)O)O)O)OC)C,COC1C=CC=C(C)CC(C)C(O)C(C=C(C=C(C(=O)OC1C(C(C(C1(O)CC(O)C(C(O1)C(C)C)C)C)O)C)OC)C)C,6436223,1,0.3
CCT 365623,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NCc1ccc(s1)S(=O)(=O)c1cc(cc(c1)S(=O)(=O)C)c1ccccc1,NCc1ccc(s1)S(=O)(=O)c1cc(cc(c1)S(=O)(=O)C)c1ccccc1,,1,0.3
GB110,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCC(C)C(C(=O)NCC1=CC(=CC=C1)C(=O)N2CCC(CC2)CN)NC(=O)C(CC3CCCCC3)NC(=O)C4=CC=NO4,NCC1CCN(CC1)C(=O)c1cccc(c1)CNC(=O)C(C(CC)C)NC(=O)C(NC(=O)c1ccno1)CC1CCCCC1,49843508,1,0.3
H-89,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br,Brc1ccc(cc1)C=CCNCCNS(=O)(=O)c1cccc2c1ccnc2,449241,1,0.3
JQ1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,O=C(OC(C)(C)C)CC1N=C(c2ccc(cc2)Cl)c2c(-n3c1nnc3C)sc(c2C)C,46907787,1,0.3
PB28,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,COc1cccc2c1CCCC2CCCN1CCN(CC1)C1CCCCC1,10474335,1,0.3
PD-144418,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCN1CCC=C(C1)C2=CC(=NO2)C3=CC=C(C=C3)C,CCCN1CCC=C(C1)c1onc(c1)c1ccc(cc1)C,9817231,1,0.3
RS-PPCC,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC(=O)C1(CC1CN1CCC(CC1)(O)c1ccccc1)c1ccc(cc1)C,COC(=O)C1(CC1CN1CCC(CC1)(O)c1ccccc1)c1ccc(cc1)C,,1,0.3
TMCB,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN(C)C1=NC2=C(N1CC(=O)O)C(=C(C(=C2Br)Br)Br)Br,OC(=O)Cn1c(nc2c1c(Br)c(Br)c(c2Br)Br)N(C)C,46943415,1,0.3
UCPH-101,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=CC=C(C=C1)C2C(=C(OC3=C2C(=O)CC(C3)C4=CC=CC5=CC=CC=C54)N)C#N,COc1ccc(cc1)C1C2=C(OC(=C1C#N)N)CC(CC2=O)c1cccc2c1cccc2,25223366,1,0.3
