Entity,Keras-count,SpaCy-count,Total-count
oxygen,90544,20556,111100
ribavirin,30356,31707,62063
chloroquine,28497,30802,59299
hydroxychloroquine,30532,27085,57617
remdesivir,21474,23250,44724
oseltamivir,19682,21366,41048
heparin,17939,20294,38233
azithromycin,17659,18236,35895
ethanol,19874,15729,35603
penicillin,17831,17268,35099
trypsin,16905,16672,33577
zinc,20995,11492,32487
tocilizumab,14403,17049,31452
calcium,21844,6806,28650
lopinavir,7488,20411,27899
ritonavir,6774,19917,26691
iron,17511,4860,22371
vitamin,20115,1480,21595
streptomycin,9571,11744,21315
vancomycin,9165,11003,20168
nitrogen,11110,8311,19421
urea,9979,8832,18811
hcq,18767,0,18767
dexamethasone,9080,9459,18539
alcohol,16077,2,16079
thrombin,7588,8033,15621
methylprednisolone,7405,7854,15259
glutathione,7665,7363,15028
favipiravir,7034,7467,14501
vitamind,14468,0,14468
sodium,13957,240,14197
rituximab,6418,7320,13738
ciprofloxacin,6578,6899,13477
insulin,13424,0,13424
amantadine,6377,6787,13164
acyclovir,6464,6697,13161
zanamivir,6449,6590,13039
amoxicillin,5322,7509,12831
ampicillin,6132,6503,12635
doxycycline,6075,6361,12436
prednisone,5770,6018,11788
cyclophosphamide,6139,5561,11700
aminoacid,11200,0,11200
tetracycline,5273,5833,11106
erythromycin,5405,5672,11077
potassium,9999,1028,11027
silver,10875,132,11007
gentamicin,5395,5603,10998
prednisolone,5243,5655,10898
adenosine,5614,5218,10832
cyclosporine,5845,4934,10779
aspirin,6896,3351,10247
ganciclovir,4788,5086,9874
tacrolimus,4850,5011,9861
immunoglobulin,9684,3,9687
lopinavir/ritonavir,9574,0,9574
surfactant,9529,0,9529
ceftriaxone,4708,4594,9302
biotin,3992,4928,8920
clindamycin,4374,4539,8913
ivermectin,4470,4299,8769
metformin,4238,4506,8744
amphotericin,3954,4513,8467
anakinra,4342,3782,8124
levofloxacin,3994,4093,8087
melatonin,5471,2501,7972
nicotine,3281,4589,7870
doxorubicin,3741,3981,7722
metronidazole,3803,3908,7711
colchicine,3771,3888,7659
iodine,3584,4022,7606
meropenem,3768,3824,7592
colistin,3667,3806,7473
niclosamide,3634,3799,7433
linezolid,3666,3708,7374
chloramphenicol,3618,3680,7298
propofol,3537,3647,7184
fluconazole,3467,3696,7163
quercetin,5993,1120,7113
dopamine,5016,2092,7108
rapamycin,4404,2698,7102
cisplatin,3229,3842,7071
ketamine,3370,3594,6964
arbidol,4285,2670,6955
cq,6922,0,6922
palivizumab,3404,3484,6888
cidofovir,3328,3403,6731
cephalosporins,3637,3083,6720
ibuprofen,3283,3382,6665
paracetamol,3191,3305,6496
bleomycin,2682,3803,6485
testosterone,2506,3855,6361
imipenem,3165,3165,6330
tris-hcl,6302,19,6321
clarithromycin,3070,3174,6244
