Epoch,Md Precision,Md Recall,Md F-1,Lg Precisoin,Lg Recall,Lg F-1
1,0,0,0,0,0,0
2,85.882,18.622,30.608,64.078,8.418,14.882
3,79.758,33.673,47.354,68.431,44.515,53.941
4,73.747,46.939,57.366,68.019,53.444,59.857
5,68.729,51.02,58.565,66.017,60.459,63.116
6,66.197,53.954,59.452,65.725,65.306,65.515
7,65.594,59.821,62.575,63.171,66.071,64.589
8,66.856,59.949,63.215,65.718,67.73,66.709
9,71.097,58.673,64.291,67.932,66.199,67.054
10,69.817,58.418,63.611,68.627,62.5,65.421
11,70.634,58.291,63.871,69.061,63.776,66.313
12,69.675,60.077,64.521,68.826,65.051,66.885
13,70.475,60.587,65.158,69.565,67.347,68.438
14,71.259,61.352,65.936,72.541,67.73,70.053
15,71.512,62.117,66.485,71.946,68.367,70.111
16,70.126,63.776,66.8,71.979,69.133,70.527
17,69.751,64.413,66.976,71.974,69.77,70.855
18,69.067,66.071,67.536,72.825,69.388,71.065
19,68.992,68.112,68.549,71.484,70.663,71.071
20,68.895,68.367,68.63,72.833,71.811,72.319
