Epoch,Train CRF Acc,Val CRF Acc
1,0.922317632,0.955832846
2,0.955466824,0.955832846
3,0.955467834,0.955832846
4,0.955536819,0.957479222
5,0.959003497,0.961991811
6,0.964050892,0.963826383
7,0.965905371,0.964537298
8,0.96662103,0.96602866
9,0.968180896,0.96808491
10,0.969625256,0.970349484
11,0.971243859,0.971403071
12,0.972692298,0.972395541
13,0.974108628,0.97245635
14,0.974811133,0.975367884
15,0.97674082,0.97580124
16,0.976498863,0.976940448
17,0.977555676,0.977546793
18,0.978902606,0.977914936
19,0.979239057,0.977540569
20,0.979453031,0.978831006
21,0.980220902,0.979396345
22,0.981449163,0.979754373
23,0.98116977,0.979311734
24,0.981954095,0.979770303
25,0.981653168,0.979483611
26,0.982660339,0.9801405
27,0.982929745,0.979864229
28,0.983492718,0.980430326
29,0.983534448,0.979865779
30,0.983513661,0.980977769
31,0.984275616,0.980236551
32,0.983875111,0.981189994
33,0.984282895,0.981172488
34,0.98447776,0.98114447
35,0.984810081,0.981749558
36,0.985081052,0.981789933
37,0.984928929,0.981557115
38,0.985102509,0.981943914
39,0.986011038,0.981855511
40,0.985207837,0.982014175
41,0.985994584,0.981507372
42,0.986064757,0.982061234
43,0.986096456,0.982365403
44,0.986090558,0.982274519
45,0.986820435,0.982558794
46,0.987097967,0.982286291
47,0.987344635,0.982314212
48,0.987490866,0.982548028
49,0.987789186,0.981782061
50,0.987392557,0.982717193
51,0.988177555,0.982270138
52,0.98833732,0.982397761
53,0.988305174,0.982461358
54,0.988566057,0.98214987
55,0.988692607,0.982188441
56,0.988511706,0.982826361
57,0.988116627,0.982149104
58,0.988612791,0.982562228
59,0.989511876,0.982611703
60,0.989675593,0.982288
61,0.989583466,0.982828647
62,0.989974243,0.982776507
63,0.989527878,0.982284918
64,0.989778438,0.982317038
65,0.990524772,0.98233477
66,0.990289598,0.982063397
67,0.990224284,0.982305662
68,0.990441435,0.981567362
69,0.990077921,0.982215432
70,0.990717405,0.982366861
71,0.990928524,0.982506855
72,0.991033845,0.981646065
73,0.991687774,0.982340962
74,0.991379384,0.982046031
75,0.991111238,0.981992724
76,0.991420255,0.982243827
77,0.991100215,0.981718083
78,0.992111831,0.98251595
79,0.991811077,0.982615659
80,0.992203645,0.982225947
81,0.993118071,0.982331782
82,0.993119108,0.981781325
83,0.992990345,0.981671932
84,0.992527643,0.981190624
85,0.992207384,0.981916083
86,0.992959359,0.981721262
87,0.993324218,0.981558027
88,0.992972632,0.98156751
89,0.993892531,0.981573725
90,0.993071023,0.981502592
91,0.993434255,0.981979639
92,0.993589295,0.981507749
93,0.9942873,0.981375571
94,0.993779084,0.980999274
95,0.993786106,0.981124205
96,0.994173936,0.982047844
97,0.993925743,0.980342608
98,0.994304914,0.981559297
99,0.994597622,0.979819819
100,0.993653592,0.981667118
101,0.994005154,0.982176434
102,0.994510124,0.981921045
103,0.994734931,0.981531694
104,0.995196665,0.9812137
105,0.994735954,0.980622807
106,0.99539944,0.980822404
107,0.995184017,0.981139454
108,0.995654184,0.981330727
109,0.995874009,0.980856353
110,0.995308156,0.98128328
111,0.995531433,0.981372393
112,0.995790675,0.9818413
113,0.995632846,0.980342643
114,0.995981379,0.98033203
115,0.996204741,0.980558687
116,0.996508164,0.981036733
117,0.996114784,0.980691895
118,0.996239238,0.980808621
119,0.996477552,0.980840171
120,0.996825689,0.980532534
121,0.996817526,0.9809734
122,0.996408266,0.981162899
123,0.996363183,0.980573685
124,0.996429629,0.979901979
125,0.996432356,0.981622241
126,0.996786203,0.980882032
127,0.996974292,0.98050588
128,0.997087837,0.980399665
129,0.996962318,0.980844392
130,0.997518559,0.981530828
131,0.997489769,0.980962536
132,0.997545541,0.979322483
133,0.996870889,0.981147632
134,0.997799884,0.980568763
135,0.997649846,0.980151748
136,0.997521951,0.979442663
137,0.997344701,0.980444729
138,0.997339408,0.980367713
139,0.997794921,0.981530884
140,0.997450197,0.980987955
141,0.997633795,0.979769064
142,0.997731415,0.979861082
143,0.998158367,0.981094143
144,0.997811676,0.980740679
145,0.997403714,0.980940477
146,0.99796716,0.981245313
147,0.997801765,0.981079989
148,0.997979002,0.980165292
149,0.997697911,0.980436794
