Epoch,Loss,Precision,Recall,F-1
1,282.27369,87.726,39.836,54.791
2,310.93667,82.304,58.962,68.704
3,301.86389,73.962,71.093,72.499
4,286.49723,74.669,70.874,72.722
5,283.41445,71.705,74.918,73.276
6,268.56796,71.208,75.683,73.377
7,260.53293,70.33,76.94,73.486
8,254.44795,70.442,77.486,73.797
9,253.7495,70.152,78.087,73.907
10,249.55766,69.855,79.016,74.154
11,235.03584,70.461,80.164,75
12,236.14011,71.235,80.383,75.533
13,235.59245,70.825,81.585,75.825
14,245.95427,71.442,82.295,76.486
15,240.48947,72.337,82.022,76.876
16,224.58836,72.974,82.186,77.307
17,229.30945,72.687,81.585,76.88
18,233.49948,72.771,82.077,77.144
19,238.67012,72.771,82.077,77.144
20,230.31726,73.077,82.022,77.291
21,228.96903,73.532,82.131,77.594
22,232.38887,73.979,82.186,77.867
23,230.69785,74.431,82.24,78.141
24,244.1605,74.64,82.186,78.231
25,219.77756,73.658,81.749,77.493
26,231.36155,73.609,81.694,77.441
27,235.60835,73.609,81.694,77.441
28,226.39118,73.551,81.148,77.163
29,229.83529,73.393,81.093,77.051
30,229.25907,73.171,81.967,77.32
31,223.44071,73.077,82.022,77.291
32,217.09153,73.399,82.022,77.471
33,221.20849,72.961,82.131,77.275
34,220.27654,72.94,81.749,77.094
35,227.07798,73.258,81.585,77.198
36,236.39176,72.949,81.639,77.05
37,230.47041,72.919,81.366,76.911
38,233.91502,73.251,81.257,77.047
39,218.74556,73.1,80.929,76.815
40,228.57722,74.497,80.929,77.58
41,229.51937,74.685,81.093,77.757
42,211.89698,74.622,80.984,77.673
43,250.3892,74.385,80.929,77.519
44,220.68964,74.16,80.765,77.321
45,228.66535,74.122,80.765,77.301
46,255.67424,73.766,80.82,77.132
47,226.8821,73.676,80.601,76.983
48,227.16579,73.726,80.656,77.035
49,236.20075,74.233,80.601,77.286
50,224.09775,73.906,80.328,76.984
51,226.87188,73.711,79.672,76.576
52,220.96341,73.973,79.672,76.717
53,230.89177,74.212,79.727,76.87
54,226.94714,74.151,79.945,76.939
55,222.86395,74.257,80.546,77.274
56,230.47612,74.145,80.546,77.213
57,241.6387,74.381,80.437,77.291
58,227.37552,74.343,80.437,77.27
59,225.19118,74.696,80.492,77.486
60,238.97936,74.506,80.328,77.307
61,225.91257,74.087,79.836,76.854
62,243.82115,74.341,80.109,77.117
63,222.24345,74.772,80.656,77.603
64,237.50167,75.178,80.601,77.795
65,210.24963,74.873,80.601,77.632
66,237.15708,74.848,80.656,77.643
67,232.42442,74.975,80.546,77.661
68,223.37756,75.32,80.383,77.769
69,226.94663,74.924,80.328,77.532
70,240.5265,74.607,80.437,77.413
71,218.37598,74.987,80.437,77.617
72,241.36653,74.81,80.492,77.547
73,224.11545,74.759,80.437,77.494
74,231.10008,74.594,80.383,77.38
75,221.97717,74.885,80.328,77.511
76,254.55387,75.256,80.273,77.684
77,218.92878,75.153,80.328,77.655
78,229.41342,74.949,80.273,77.52
79,230.76695,74.757,79.945,77.264
80,230.53711,74.694,80,77.256
81,222.41407,74.517,80.055,77.187
82,250.68831,74.065,80.055,76.943
83,233.92292,73.926,79.945,76.818
84,230.5456,73.605,80,76.669
85,221.57718,73.666,79.945,76.677
86,235.43243,73.524,80.273,76.75
87,222.88048,73.658,80.219,76.798
88,235.01243,73.719,80.164,76.806
89,256.49533,73.56,80.273,76.77
90,220.95082,73.444,79.945,76.557
91,240.23199,73.639,79.836,76.612
92,215.82183,73.666,79.945,76.677
93,247.03884,73.7,79.781,76.62
94,219.21685,73.999,79.781,76.781
95,244.54675,74.198,79.672,76.838
96,234.57027,74.11,79.617,76.765
97,233.74688,74.225,79.781,76.903
98,224.31461,74.262,79.781,76.923
99,233.49405,73.775,79.781,76.661
100,243.55741,74.3,79.781,76.943
